10	4002	2019	1500000	10130000
23	4002	2020	1500000	10130000
20	2128	2011	1500000	10130001
18	2128	2014	1500000	10130001
1	3714	2010	1800000	10130002
26	3714	2016	1500000	10130002
1	1281	2012	2000000	10130003
17	1281	2013	2000000	10130003
13	1281	2016	1800000	10130003
19	1281	2020	2000000	10130003
9	3207	2014	1800000	10130004
17	3207	2015	2000000	10130004
22	3207	2020	1800000	10130004
15	1024	2014	1500000	10130006
15	1024	2015	1500000	10130006
17	1024	2017	1500000	10130006
7	1233	2010	2000000	10130007
11	1233	2016	1500000	10130007
26	950	2011	1500000	10130008
18	950	2012	2000000	10130008
16	950	2016	1500000	10130008
14	950	2018	1000000	10130008
27	3434	2012	1500000	10130009
20	3434	2013	1500000	10130009
26	77	2012	2000000	10130011
25	77	2013	2000000	10130011
21	77	2020	1500000	10130011
4	716	2010	2000000	10130012
28	716	2015	2000000	10130012
13	611	2010	1800000	10130013
10	611	2013	1500000	10130013
25	3938	2014	1800000	10130014
15	1131	2013	1800000	10130015
12	1131	2015	1800000	10130015
10	1131	2017	1800000	10130015
9	1131	2020	1800000	10130015
5	1324	2017	2000000	10130016
23	3276	2017	1500000	10130017
1	1084	2013	2000000	10130018
3	1084	2014	2000000	10130018
21	1084	2016	1500000	10130018
20	1084	2019	1800000	10130018
23	1908	2013	1800000	10130019
30	1908	2016	1500000	10130019
13	1908	2018	1000000	10130019
27	2768	2011	1800000	10130020
13	2768	2012	1800000	10130020
13	3752	2010	1800000	10130021
17	226	2018	1500000	10130022
8	3309	2011	1800000	10130023
1	3309	2017	1500000	10130023
29	1932	2016	1500000	10130024
24	1932	2018	1000000	10130024
2	3681	2012	2000000	10130025
29	3681	2014	2000000	10130025
30	3681	2016	1500000	10130025
6	1256	2012	2000000	10130026
10	1256	2013	1500000	10130026
23	1688	2010	1800000	10130027
5	1688	2011	1500000	10130027
24	1688	2013	1800000	10130027
8	1688	2014	2000000	10130027
16	1688	2015	2000000	10130027
5	1688	2017	2000000	10130027
22	2077	2010	1800000	10130028
6	2077	2016	1800000	10130028
7	2077	2019	1800000	10130028
29	3574	2010	2000000	10130029
13	3574	2012	1800000	10130029
28	2047	2013	2000000	10130030
2	2047	2014	1800000	10130030
6	2047	2015	1800000	10130030
19	2047	2020	2000000	10130030
20	1667	2012	1500000	10130031
28	1667	2014	2000000	10130031
1	1667	2016	1500000	10130031
8	1667	2018	1200000	10130031
17	298	2011	1800000	10130032
5	298	2019	1500000	10130032
10	24	2014	2000000	10130033
19	24	2018	1200000	10130033
5	1132	2010	1500000	10130034
19	1132	2017	1800000	10130034
3	1184	2011	1500000	10130035
26	1184	2012	2000000	10130035
30	1184	2018	1000000	10130035
1	2465	2015	2000000	10130036
19	3763	2014	1500000	10130037
22	3763	2016	2000000	10130037
21	3763	2019	1800000	10130037
1	2837	2011	2000000	10130039
22	2837	2012	1800000	10130039
16	2837	2020	1500000	10130039
15	654	2012	1800000	10130040
24	654	2013	1800000	10130040
18	2179	2019	1800000	10130041
6	833	2010	1500000	10130042
19	833	2019	1200000	10130042
3	833	2020	2000000	10130042
30	4055	2016	1500000	10130043
16	1892	2010	2000000	10130044
19	1892	2011	1500000	10130044
22	1892	2017	2000000	10130044
22	2854	2020	1800000	10130045
21	2713	2014	1800000	10130046
22	2713	2019	1800000	10130046
3	3816	2016	2000000	10130047
19	2481	2010	2000000	10130048
20	2481	2016	1800000	10130048
9	3956	2017	1500000	10130049
5	3636	2011	1500000	10130050
29	3636	2013	2000000	10130050
28	3636	2019	1800000	10130050
7	3636	2020	1500000	10130050
28	3636	2014	2000000	10130050
2	3636	2017	2000000	10130050
27	1737	2012	1500000	10130051
26	1737	2014	1500000	10130051
4	1737	2019	1800000	10130051
18	1737	2020	1500000	10130051
9	2581	2013	1800000	10130052
8	2581	2019	1800000	10130052
10	3289	2010	1500000	10130053
12	3289	2011	1800000	10130053
13	3289	2012	1800000	10130053
12	3289	2018	1500000	10130053
22	3289	2013	1800000	10130053
20	3289	2015	1500000	10130053
3	2423	2020	2000000	10130054
19	555	2013	1800000	10130055
25	555	2016	2000000	10130055
26	3832	2012	2000000	10130056
2	3832	2013	1500000	10130056
16	3832	2015	2000000	10130056
27	3832	2016	1500000	10130056
4	3832	2018	1500000	10130056
15	1982	2014	1500000	10130058
21	1982	2015	2000000	10130058
20	2857	2014	1500000	10130059
27	2857	2017	2000000	10130059
25	1354	2017	1800000	10130060
12	1354	2019	1200000	10130060
2	1238	2016	1800000	10130061
20	1554	2010	2000000	10130062
1	1554	2017	1500000	10130062
28	1554	2019	1800000	10130062
3	1647	2016	2000000	10130063
7	1647	2017	1800000	10130063
25	2328	2010	1500000	10130064
27	2328	2011	1800000	10130064
23	2328	2019	1200000	10130064
17	2918	2018	1500000	10130065
4	2918	2019	1800000	10130065
5	2593	2017	2000000	10130066
29	3608	2010	2000000	10130067
1	3608	2016	1500000	10130067
13	817	2017	1500000	10130068
19	817	2019	1200000	10130068
5	2995	2020	1500000	10130069
4	2995	2016	1500000	10130069
7	3267	2010	2000000	10130070
11	3267	2014	1800000	10130070
17	3055	2015	2000000	10130071
14	618	2011	2000000	10130072
18	618	2017	2000000	10130072
24	618	2018	1000000	10130072
26	2184	2020	1500000	10130073
15	1259	2018	1500000	10130074
30	3423	2017	1800000	10130075
4	3423	2018	1500000	10130075
6	2787	2015	1800000	10130076
1	2787	2016	1500000	10130076
2	2787	2017	2000000	10130076
11	2080	2014	1800000	10130077
2	2080	2018	1000000	10130077
5	2419	2010	1500000	10130079
28	2419	2019	1800000	10130079
3	1764	2019	1200000	10130080
28	1489	2011	1500000	10130081
3	3662	2012	1800000	10130082
17	3662	2014	2000000	10130082
24	3662	2015	1800000	10130082
1	3662	2020	2000000	10130082
26	3409	2015	1500000	10130083
25	3409	2017	1800000	10130083
16	3409	2018	1500000	10130083
18	3409	2020	1500000	10130083
11	1022	2016	1500000	10130084
30	1022	2017	1800000	10130084
8	1022	2020	1500000	10130084
29	2293	2014	2000000	10130085
24	2293	2016	1800000	10130085
16	1579	2010	2000000	10130086
11	1579	2011	2000000	10130086
11	1761	2011	2000000	10130087
15	1761	2016	1500000	10130087
9	1761	2018	1200000	10130087
2	2657	2010	2000000	10130088
16	2657	2017	1800000	10130088
10	2235	2016	2000000	10130089
20	2235	2019	1800000	10130089
27	1810	2020	1800000	10130090
7	1810	2016	2000000	10130090
30	1810	2015	1500000	10130090
2	2253	2015	1800000	10130091
13	2253	2019	1800000	10130091
11	1046	2016	1500000	10130092
28	1046	2018	1500000	10130092
10	1046	2019	1500000	10130092
19	1106	2011	1500000	10130093
28	1106	2012	1800000	10130093
7	1106	2017	1800000	10130093
13	1106	2019	1800000	10130093
13	921	2018	1000000	10130094
28	921	2019	1800000	10130094
19	3968	2017	1800000	10130095
